GEOID,state,county,strokeRate
13305,Georgia,Wayne,92.2
13307,Georgia,Webster,93.0
13309,Georgia,Wheeler,115.1
13311,Georgia,White,74.3
13313,Georgia,Whitfield,100.0
13315,Georgia,Wilcox,85.7
13317,Georgia,Wilkes,90.6
13319,Georgia,Wilkinson,87.4
13321,Georgia,Worth,87.1
15001,Hawaii,Hawaii,71.4
15003,Hawaii,Honolulu,68.4
15005,Hawaii,Kalawao,55.8
15007,Hawaii,Kauai,68.9
15009,Hawaii,Maui,64.0
16001,Idaho,Ada,60.3
16003,Idaho,Adams,73.5
16005,Idaho,Bannock,81.4
16007,Idaho,Bear Lake,77.1
16009,Idaho,Benewah,80.1
16011,Idaho,Bingham,73.4
16013,Idaho,Blaine,65.5
16015,Idaho,Boise,59.2
16017,Idaho,Bonner,98.8
16019,Idaho,Bonneville,64.6
16021,Idaho,Boundary,91.6
16023,Idaho,Butte,68.7
16025,Idaho,Camas,65.2
16027,Idaho,Canyon,67.1
16029,Idaho,Caribou,74.6
16031,Idaho,Cassia,83.2
16033,Idaho,Clark,67.5
16035,Idaho,Clearwater,76.3
16037,Idaho,Custer,53.7
16039,Idaho,Elmore,61.9
16041,Idaho,Franklin,78.9
16043,Idaho,Fremont,61.6
16045,Idaho,Gem,62.1
16047,Idaho,Gooding,70.8
16049,Idaho,Idaho,68.9
16051,Idaho,Jefferson,70.4
16053,Idaho,Jerome,71.8
16055,Idaho,Kootenai,81.0
16057,Idaho,Latah,82.3
16059,Idaho,Lemhi,58.8
16061,Idaho,Lewis,81.2
16063,Idaho,Lincoln,65.0
16065,Idaho,Madison,73.0
16067,Idaho,Minidoka,65.9
16069,Idaho,Nez Perce,79.6
16071,Idaho,Oneida,85.4
16073,Idaho,Owyhee,68.4
16075,Idaho,Payette,71.7
16077,Idaho,Power,77.8
16079,Idaho,Shoshone,89.9
16081,Idaho,Teton,57.3
16083,Idaho,Twin Falls,70.0
16085,Idaho,Valley,60.1
16087,Idaho,Washington,79.5
17001,Illinois,Adams,82.1
17003,Illinois,Alexander,82.1
17005,Illinois,Bond,80.3
17007,Illinois,Boone,81.8
17009,Illinois,Brown,81.8
17011,Illinois,Bureau,75.3
17013,Illinois,Calhoun,63.6
17015,Illinois,Carroll,77.1
17017,Illinois,Cass,71.9
17019,Illinois,Champaign,56.8
17021,Illinois,Christian,76.3
17023,Illinois,Clark,95.5
17025,Illinois,Clay,91.4
17027,Illinois,Clinton,82.7
17029,Illinois,Coles,69.6
17031,Illinois,Cook,71.1
17033,Illinois,Crawford,115.8
17035,Illinois,Cumberland,77.4
17037,Illinois,DeKalb,79.0
17039,Illinois,De Witt,73.4
17041,Illinois,Douglas,80.7
17043,Illinois,DuPage,61.6
17045,Illinois,Edgar,111.3
17047,Illinois,Edwards,76.9
17049,Illinois,Effingham,88.3
17051,Illinois,Fayette,85.8
17053,Illinois,Ford,80.1
17055,Illinois,Franklin,78.9
17057,Illinois,Fulton,85.0
17059,Illinois,Gallatin,85.2
17061,Illinois,Greene,79.4
17063,Illinois,Grundy,77.0
17065,Illinois,Hamilton,83.5
17067,Illinois,Hancock,83.5
17069,Illinois,Hardin,87.5
17071,Illinois,Henderson,79.2
17073,Illinois,Henry,69.1
17075,Illinois,Iroquois,82.3
17077,Illinois,Jackson,79.6
17079,Illinois,Jasper,92.6
17081,Illinois,Jefferson,85.1
17083,Illinois,Jersey,72.5
17085,Illinois,Jo Daviess,76.6
17087,Illinois,Johnson,79.2
17089,Illinois,Kane,62.5
17091,Illinois,Kankakee,76.4
17093,Illinois,Kendall,61.0
17095,Illinois,Knox,84.6
17097,Illinois,Lake,63.1
17099,Illinois,La Salle,79.7
17101,Illinois,Lawrence,110.3
17103,Illinois,Lee,79.1
17105,Illinois,Livingston,80.7
17107,Illinois,Logan,71.9
17109,Illinois,McDonough,83.0
17111,Illinois,McHenry,66.7
17113,Illinois,McLean,64.0
17115,Illinois,Macon,74.4
17117,Illinois,Macoupin,77.7
17119,Illinois,Madison,79.9
17121,Illinois,Marion,85.1
17123,Illinois,Marshall,91.9
17125,Illinois,Mason,75.8
17127,Illinois,Massac,84.2
17129,Illinois,Menard,69.2
17131,Illinois,Mercer,72.8
17133,Illinois,Monroe,83.5
17135,Illinois,Montgomery,76.8
17137,Illinois,Morgan,73.7
17139,Illinois,Moultrie,78.9
17141,Illinois,Ogle,88.0
17143,Illinois,Peoria,97.2
17145,Illinois,Perry,80.3
17147,Illinois,Piatt,71.8
17149,Illinois,Pike,79.6
17151,Illinois,Pope,76.1
17153,Illinois,Pulaski,85.8
17155,Illinois,Putnam,78.0
17157,Illinois,Randolph,85.5
17159,Illinois,Richland,90.9
17161,Illinois,Rock Island,69.0
17163,Illinois,St. Clair,83.2
17165,Illinois,Saline,79.4
17167,Illinois,Sangamon,75.7
17169,Illinois,Schuyler,80.3
